datetime,value,indicator,group,region,subregion
2019-01-01T00:00:00.000+01:00,53722.12,Hidráulica,Renovable,ccaa,region de murcia
2019-01-02T00:00:00.000+01:00,61294.768,Hidráulica,Renovable,ccaa,region de murcia
2019-01-03T00:00:00.000+01:00,82981.951,Hidráulica,Renovable,ccaa,region de murcia
2019-01-04T00:00:00.000+01:00,94301.94,Hidráulica,Renovable,ccaa,region de murcia
2019-01-05T00:00:00.000+01:00,58822.692,Hidráulica,Renovable,ccaa,region de murcia
2019-01-06T00:00:00.000+01:00,42064.747,Hidráulica,Renovable,ccaa,region de murcia
2019-01-07T00:00:00.000+01:00,66708.373,Hidráulica,Renovable,ccaa,region de murcia
2019-01-08T00:00:00.000+01:00,68044.833,Hidráulica,Renovable,ccaa,region de murcia
2019-01-09T00:00:00.000+01:00,48716.673,Hidráulica,Renovable,ccaa,region de murcia
2019-01-10T00:00:00.000+01:00,62288.159,Hidráulica,Renovable,ccaa,region de murcia
2019-01-11T00:00:00.000+01:00,64303.769,Hidráulica,Renovable,ccaa,region de murcia
2019-01-12T00:00:00.000+01:00,36415.318,Hidráulica,Renovable,ccaa,region de murcia
2019-01-13T00:00:00.000+01:00,42369.957,Hidráulica,Renovable,ccaa,region de murcia
2019-01-14T00:00:00.000+01:00,53598.566,Hidráulica,Renovable,ccaa,region de murcia
2019-01-15T00:00:00.000+01:00,81267.421,Hidráulica,Renovable,ccaa,region de murcia
2019-01-16T00:00:00.000+01:00,82944.481,Hidráulica,Renovable,ccaa,region de murcia
2019-01-17T00:00:00.000+01:00,72981.884,Hidráulica,Renovable,ccaa,region de murcia
2019-01-18T00:00:00.000+01:00,101622.441,Hidráulica,Renovable,ccaa,region de murcia
2019-01-19T00:00:00.000+01:00,69273.204,Hidráulica,Renovable,ccaa,region de murcia
2019-01-20T00:00:00.000+01:00,47734.816,Hidráulica,Renovable,ccaa,region de murcia
2019-01-21T00:00:00.000+01:00,91299.463,Hidráulica,Renovable,ccaa,region de murcia
2019-01-22T00:00:00.000+01:00,76301.055,Hidráulica,Renovable,ccaa,region de murcia
2019-01-23T00:00:00.000+01:00,64317.281,Hidráulica,Renovable,ccaa,region de murcia
2019-01-24T00:00:00.000+01:00,71281.067,Hidráulica,Renovable,ccaa,region de murcia
2019-01-25T00:00:00.000+01:00,76711.708,Hidráulica,Renovable,ccaa,region de murcia
2019-01-26T00:00:00.000+01:00,68907.867,Hidráulica,Renovable,ccaa,region de murcia
2019-01-27T00:00:00.000+01:00,54595.836,Hidráulica,Renovable,ccaa,region de murcia
2019-01-28T00:00:00.000+01:00,76405.736,Hidráulica,Renovable,ccaa,region de murcia
2019-01-29T00:00:00.000+01:00,78839.109,Hidráulica,Renovable,ccaa,region de murcia
2019-01-30T00:00:00.000+01:00,85928.214,Hidráulica,Renovable,ccaa,region de murcia
2019-01-31T00:00:00.000+01:00,91169.602,Hidráulica,Renovable,ccaa,region de murcia
2019-02-01T00:00:00.000+01:00,104180.249,Hidráulica,Renovable,ccaa,region de murcia
2019-02-02T00:00:00.000+01:00,104172.754,Hidráulica,Renovable,ccaa,region de murcia
2019-02-03T00:00:00.000+01:00,103565.911,Hidráulica,Renovable,ccaa,region de murcia
2019-02-04T00:00:00.000+01:00,112595.836,Hidráulica,Renovable,ccaa,region de murcia
2019-02-05T00:00:00.000+01:00,113328.801,Hidráulica,Renovable,ccaa,region de murcia
2019-02-06T00:00:00.000+01:00,104095.745,Hidráulica,Renovable,ccaa,region de murcia
2019-02-07T00:00:00.000+01:00,104841.916,Hidráulica,Renovable,ccaa,region de murcia
2019-02-08T00:00:00.000+01:00,96035.63,Hidráulica,Renovable,ccaa,region de murcia
2019-02-09T00:00:00.000+01:00,88929.275,Hidráulica,Renovable,ccaa,region de murcia
2019-02-10T00:00:00.000+01:00,77094.103,Hidráulica,Renovable,ccaa,region de murcia
2019-02-11T00:00:00.000+01:00,86087.283,Hidráulica,Renovable,ccaa,region de murcia
2019-02-12T00:00:00.000+01:00,102813.641,Hidráulica,Renovable,ccaa,region de murcia
2019-02-13T00:00:00.000+01:00,102627.126,Hidráulica,Renovable,ccaa,region de murcia
2019-02-14T00:00:00.000+01:00,85739.273,Hidráulica,Renovable,ccaa,region de murcia
2019-02-15T00:00:00.000+01:00,90038.415,Hidráulica,Renovable,ccaa,region de murcia
2019-02-16T00:00:00.000+01:00,76773.291,Hidráulica,Renovable,ccaa,region de murcia
2019-02-17T00:00:00.000+01:00,66533.326,Hidráulica,Renovable,ccaa,region de murcia
2019-02-18T00:00:00.000+01:00,92032.562,Hidráulica,Renovable,ccaa,region de murcia
2019-02-19T00:00:00.000+01:00,101558.298,Hidráulica,Renovable,ccaa,region de murcia
2019-02-20T00:00:00.000+01:00,85119.485,Hidráulica,Renovable,ccaa,region de murcia
2019-02-21T00:00:00.000+01:00,76568.369,Hidráulica,Renovable,ccaa,region de murcia
2019-02-22T00:00:00.000+01:00,72749.435,Hidráulica,Renovable,ccaa,region de murcia
2019-02-23T00:00:00.000+01:00,62126.142,Hidráulica,Renovable,ccaa,region de murcia
2019-02-24T00:00:00.000+01:00,64015.484,Hidráulica,Renovable,ccaa,region de murcia
2019-02-25T00:00:00.000+01:00,89367.789,Hidráulica,Renovable,ccaa,region de murcia
2019-02-26T00:00:00.000+01:00,72981.411,Hidráulica,Renovable,ccaa,region de murcia
2019-02-27T00:00:00.000+01:00,76836.854,Hidráulica,Renovable,ccaa,region de murcia
2019-02-28T00:00:00.000+01:00,70597.07,Hidráulica,Renovable,ccaa,region de murcia
2019-03-01T00:00:00.000+01:00,77828.26,Hidráulica,Renovable,ccaa,region de murcia
2019-03-02T00:00:00.000+01:00,62615.899,Hidráulica,Renovable,ccaa,region de murcia
2019-03-03T00:00:00.000+01:00,48510.165,Hidráulica,Renovable,ccaa,region de murcia
