datetime,value,indicator,group,region,subregion
2020-01-01T00:00:00.000+01:00,151481.978,Hidráulica,Renovable,ccaa,cantabria
2020-01-02T00:00:00.000+01:00,159171.675,Hidráulica,Renovable,ccaa,cantabria
2020-01-03T00:00:00.000+01:00,151996.921,Hidráulica,Renovable,ccaa,cantabria
2020-01-04T00:00:00.000+01:00,139873.002,Hidráulica,Renovable,ccaa,cantabria
2020-01-05T00:00:00.000+01:00,126801.179,Hidráulica,Renovable,ccaa,cantabria
2020-01-06T00:00:00.000+01:00,130350.192,Hidráulica,Renovable,ccaa,cantabria
2020-01-07T00:00:00.000+01:00,145618.109,Hidráulica,Renovable,ccaa,cantabria
2020-01-08T00:00:00.000+01:00,148928.277,Hidráulica,Renovable,ccaa,cantabria
2020-01-09T00:00:00.000+01:00,132361.763,Hidráulica,Renovable,ccaa,cantabria
2020-01-10T00:00:00.000+01:00,137100.784,Hidráulica,Renovable,ccaa,cantabria
2020-01-11T00:00:00.000+01:00,111030.224,Hidráulica,Renovable,ccaa,cantabria
2020-01-12T00:00:00.000+01:00,107768.537,Hidráulica,Renovable,ccaa,cantabria
2020-01-13T00:00:00.000+01:00,132610.429,Hidráulica,Renovable,ccaa,cantabria
2020-01-14T00:00:00.000+01:00,126556.491,Hidráulica,Renovable,ccaa,cantabria
2020-01-15T00:00:00.000+01:00,110971.813,Hidráulica,Renovable,ccaa,cantabria
2020-01-16T00:00:00.000+01:00,104292.086,Hidráulica,Renovable,ccaa,cantabria
2020-01-17T00:00:00.000+01:00,97049.244,Hidráulica,Renovable,ccaa,cantabria
2020-01-18T00:00:00.000+01:00,80016.253,Hidráulica,Renovable,ccaa,cantabria
2020-01-19T00:00:00.000+01:00,82743.298,Hidráulica,Renovable,ccaa,cantabria
2020-01-20T00:00:00.000+01:00,108681.961,Hidráulica,Renovable,ccaa,cantabria
2020-01-21T00:00:00.000+01:00,111469.814,Hidráulica,Renovable,ccaa,cantabria
2020-01-22T00:00:00.000+01:00,142700.531,Hidráulica,Renovable,ccaa,cantabria
2020-01-23T00:00:00.000+01:00,139703.137,Hidráulica,Renovable,ccaa,cantabria
2020-01-24T00:00:00.000+01:00,144277.569,Hidráulica,Renovable,ccaa,cantabria
2020-01-25T00:00:00.000+01:00,128129.436,Hidráulica,Renovable,ccaa,cantabria
2020-01-26T00:00:00.000+01:00,98992.667,Hidráulica,Renovable,ccaa,cantabria
2020-01-27T00:00:00.000+01:00,92349.355,Hidráulica,Renovable,ccaa,cantabria
2020-01-28T00:00:00.000+01:00,103275.679,Hidráulica,Renovable,ccaa,cantabria
2020-01-29T00:00:00.000+01:00,101300.016,Hidráulica,Renovable,ccaa,cantabria
2020-01-30T00:00:00.000+01:00,87508.033,Hidráulica,Renovable,ccaa,cantabria
2020-01-31T00:00:00.000+01:00,94233.38,Hidráulica,Renovable,ccaa,cantabria
2020-02-01T00:00:00.000+01:00,83405.29,Hidráulica,Renovable,ccaa,cantabria
2020-02-02T00:00:00.000+01:00,83116.365,Hidráulica,Renovable,ccaa,cantabria
2020-02-03T00:00:00.000+01:00,92119.269,Hidráulica,Renovable,ccaa,cantabria
2020-02-04T00:00:00.000+01:00,85611.592,Hidráulica,Renovable,ccaa,cantabria
2020-02-05T00:00:00.000+01:00,99862.715,Hidráulica,Renovable,ccaa,cantabria
2020-02-06T00:00:00.000+01:00,118542.943,Hidráulica,Renovable,ccaa,cantabria
2020-02-07T00:00:00.000+01:00,131171.837,Hidráulica,Renovable,ccaa,cantabria
2020-02-08T00:00:00.000+01:00,109932.993,Hidráulica,Renovable,ccaa,cantabria
2020-02-09T00:00:00.000+01:00,80278.717,Hidráulica,Renovable,ccaa,cantabria
2020-02-10T00:00:00.000+01:00,92188.166,Hidráulica,Renovable,ccaa,cantabria
