fecha,valor,porcentaje,indicator,region
2020-01-01T00:00:00.000+01:00,119.52491666666664,1,Índice industria,peninsular
2020-02-01T00:00:00.000+01:00,119.62941666666666,1,Índice industria,peninsular
2020-03-01T00:00:00.000+01:00,118.84000000000002,1,Índice industria,peninsular
2020-04-01T00:00:00.000+02:00,116.42858333333335,1,Índice industria,peninsular
2020-05-01T00:00:00.000+02:00,114.7354166666667,1,Índice industria,peninsular
2020-06-01T00:00:00.000+02:00,113.68791666666668,1,Índice industria,peninsular
2020-07-01T00:00:00.000+02:00,113.03249999999998,1,Índice industria,peninsular
2020-08-01T00:00:00.000+02:00,112.36341666666665,1,Índice industria,peninsular
2020-09-01T00:00:00.000+02:00,111.98899999999999,1,Índice industria,peninsular
2020-10-01T00:00:00.000+02:00,111.62858333333332,1,Índice industria,peninsular
2020-11-01T00:00:00.000+01:00,111.62833333333333,1,Índice industria,peninsular
2020-12-01T00:00:00.000+01:00,111.6915,1,Índice industria,peninsular
2020-01-01T00:00:00.000+01:00,98.06666666666666,1,Índice industria corregido,peninsular
2020-02-01T00:00:00.000+01:00,97.84333333333336,1,Índice industria corregido,peninsular
2020-03-01T00:00:00.000+01:00,97.224,1,Índice industria corregido,peninsular
2020-04-01T00:00:00.000+02:00,95.12883333333333,1,Índice industria corregido,peninsular
2020-05-01T00:00:00.000+02:00,93.70025,1,Índice industria corregido,peninsular
2020-06-01T00:00:00.000+02:00,92.73233333333333,1,Índice industria corregido,peninsular
2020-07-01T00:00:00.000+02:00,92.12649999999998,1,Índice industria corregido,peninsular
2020-08-01T00:00:00.000+02:00,91.55708333333332,1,Índice industria corregido,peninsular
2020-09-01T00:00:00.000+02:00,91.14025,1,Índice industria corregido,peninsular
2020-10-01T00:00:00.000+02:00,91.01841666666665,1,Índice industria corregido,peninsular
2020-11-01T00:00:00.000+01:00,90.96524999999998,1,Índice industria corregido,peninsular
2020-12-01T00:00:00.000+01:00,90.98066666666666,1,Índice industria corregido,peninsular
