fecha,valor,porcentaje,indicador,region,ano
2019-01-01,123.969,0.541252439519562,indice general,peninsular,2019
2019-02-01,114.805,0.5168881805247898,indice general,peninsular,2019
2019-03-01,126.515,0.5418433337616172,indice general,peninsular,2019
2019-04-01,119.432,0.5324773178180521,indice general,peninsular,2019
2019-05-01,130.28,0.5523592285286674,indice general,peninsular,2019
2019-06-01,128.288,0.5515011865047976,indice general,peninsular,2019
2019-07-01,135.566,0.5755784825712223,indice general,peninsular,2019
2019-08-01,125.668,0.5748107489994283,indice general,peninsular,2019
2019-09-01,127.6,0.5502822568472622,indice general,peninsular,2019
2019-10-01,129.484,0.5539683150864854,indice general,peninsular,2019
2019-11-01,121.014,0.5336726098863541,indice general,peninsular,2019
2019-12-01,110.193,0.534219877926397,indice general,peninsular,2019
2019-01-01,105.072,0.4581427113386133,indice general corregido,peninsular,2019
2019-02-01,107.303,0.4789953992167335,indice general corregido,peninsular,2019
2019-03-01,106.975,0.4575667393780518,indice general corregido,peninsular,2019
2019-04-01,104.863,0.4588751719881501,indice general corregido,peninsular,2019
2019-05-01,105.581,0.4444402900760273,indice general corregido,peninsular,2019
2019-06-01,104.328,0.4441345334105395,indice general corregido,peninsular,2019
2019-07-01,99.964,0.423947595145544,indice general corregido,peninsular,2019
2019-08-01,92.957,0.4195807517539985,indice general corregido,peninsular,2019
2019-09-01,104.281,0.4432466522121416,indice general corregido,peninsular,2019
2019-10-01,104.255,0.4441830282362817,indice general corregido,peninsular,2019
2019-11-01,105.743,0.4625986848454971,indice general corregido,peninsular,2019
2019-12-01,96.076,0.4587311122920701,indice general corregido,peninsular,2019
2020-01-01,119.338,0.5404555953081834,indice general,peninsular,2020
2020-02-01,117.101,0.5256469532039053,indice general,peninsular,2020
2020-03-01,116.553,0.5425208065687315,indice general,peninsular,2020
2020-04-01,91.667,0.5334004445634085,indice general,peninsular,2020
2020-05-01,109.119,0.557742634581178,indice general,peninsular,2020
2020-06-01,113.748,0.5548385208598563,indice general,peninsular,2020
2020-07-01,126.425,0.5809758832395867,indice general,peninsular,2020
2020-08-01,117.307,0.5775767840789358,indice general,peninsular,2020
2020-09-01,121.975,0.5543259923105589,indice general,peninsular,2020
2020-10-01,122.627,0.547173263129713,indice general,peninsular,2020
2020-11-01,117.355,0.5338491911858362,indice general,peninsular,2020
2020-12-01,109.048,0.5368331922099915,indice general,peninsular,2020
2020-01-01,101.472,0.4518992796274457,indice general corregido,peninsular,2020
2020-02-01,105.674,0.4701325367613302,indice general corregido,peninsular,2020
2020-03-01,98.283,0.4413045086989648,indice general corregido,peninsular,2020
2020-04-01,80.187,0.4110013723054145,indice general corregido,peninsular,2020
2020-05-01,86.525,0.4083550158062929,indice general corregido,peninsular,2020
2020-06-01,91.263,0.4218403625829535,indice general corregido,peninsular,2020
2020-07-01,91.183,0.4064303906444975,indice general corregido,peninsular,2020
2020-08-01,85.795,0.4090243367983945,indice general corregido,peninsular,2020
2020-09-01,98.067,0.4369207653087903,indice general corregido,peninsular,2020
2020-10-01,101.483,0.4423736147893422,indice general corregido,peninsular,2020
2020-11-01,102.473,0.4598261450040417,indice general corregido,peninsular,2020
2020-12-01,94.084,0.4608096173571133,indice general corregido,peninsular,2020
2021-01-01,114.181,0.5382519457133026,indice general,peninsular,2021
2021-02-01,110.055,0.5161279732873114,indice general,peninsular,2021
2021-03-01,122.356,0.5436763784530755,indice general,peninsular,2021
2021-04-01,115.901,0.5296805948458273,indice general,peninsular,2021
2021-05-01,123.988,0.5506710843052434,indice general,peninsular,2021
2021-06-01,126.215,0.554099497769817,indice general,peninsular,2021
2021-07-01,131.561,0.5751300546448088,indice general,peninsular,2021
2021-08-01,122.072,0.5796831668122935,indice general,peninsular,2021
2021-09-01,126.392,0.5548132215442694,indice general,peninsular,2021
2021-10-01,121.862,0.5481945325398003,indice general,peninsular,2021
2021-11-01,118.012,0.5320529293749013,indice general,peninsular,2021
2021-12-01,109.402,0.5343486096933169,indice general,peninsular,2021
2021-01-01,97.952,0.4525296202261992,indice general corregido,peninsular,2021
2021-02-01,103.177,0.4705927361430949,indice general corregido,peninsular,2021
2021-03-01,102.697,0.4464468708679744,indice general corregido,peninsular,2021
2021-04-01,102.912,0.4196208040477124,indice general corregido,peninsular,2021
2021-05-01,101.17,0.4236876306283053,indice general corregido,peninsular,2021
2021-06-01,101.569,0.4254302433432804,indice general corregido,peninsular,2021
2021-07-01,97.189,0.4174561295436655,indice general corregido,peninsular,2021
2021-08-01,88.512,0.4123626978129666,indice general corregido,peninsular,2021
2021-09-01,101.418,0.4382208844879381,indice general corregido,peninsular,2021
2021-10-01,100.435,0.4505410917708164,indice general corregido,peninsular,2021
2021-11-01,103.793,0.4667689374465671,indice general corregido,peninsular,2021
