fecha,valor,indicator,region
2019-01-01,582949.806,Demanda,peninsular
2019-01-02,742199.407,Demanda,peninsular
2019-01-03,787764.963,Demanda,peninsular
2019-01-04,796010.035,Demanda,peninsular
2019-01-05,721029.651,Demanda,peninsular
2019-01-06,661772.168,Demanda,peninsular
2019-01-07,764920.771,Demanda,peninsular
2019-01-08,844559.085,Demanda,peninsular
2019-01-09,846151.453,Demanda,peninsular
2019-01-10,857323.124,Demanda,peninsular
2019-01-11,867181.886,Demanda,peninsular
2019-01-12,775170.712,Demanda,peninsular
2019-01-13,722271.171,Demanda,peninsular
2019-01-14,835752.36,Demanda,peninsular
2019-01-15,846245.527,Demanda,peninsular
2019-01-16,847911.818,Demanda,peninsular
2019-01-17,849875.833,Demanda,peninsular
2019-01-18,848781.942,Demanda,peninsular
2019-01-19,766537.72,Demanda,peninsular
2019-01-20,705583.355,Demanda,peninsular
2019-01-21,828406.838,Demanda,peninsular
2019-01-22,864855.303,Demanda,peninsular
2019-01-23,854462.174,Demanda,peninsular
2019-01-24,837075.708,Demanda,peninsular
2019-01-25,815349.834,Demanda,peninsular
2019-01-26,724205.323,Demanda,peninsular
2019-01-27,678249.362,Demanda,peninsular
2019-01-28,807644.379,Demanda,peninsular
2019-01-29,832616.612,Demanda,peninsular
2019-01-30,829785.386,Demanda,peninsular
2019-01-31,823510.841,Demanda,peninsular
2019-02-01,811408.357,Demanda,peninsular
2019-02-02,739149.442,Demanda,peninsular
2019-02-03,696029.792,Demanda,peninsular
2019-02-04,827865.952,Demanda,peninsular
2019-02-05,826264.446,Demanda,peninsular
2019-02-06,813527.159,Demanda,peninsular
2019-02-07,805445.154,Demanda,peninsular
2019-02-08,799019.676,Demanda,peninsular
2019-02-09,719403.839,Demanda,peninsular
2019-02-10,672445.604,Demanda,peninsular
2019-02-11,781692.422,Demanda,peninsular
2019-02-12,799138.409,Demanda,peninsular
2019-02-13,797839.046,Demanda,peninsular
2019-02-14,794299.138,Demanda,peninsular
2019-02-15,790637.803,Demanda,peninsular
2019-02-16,706487.416,Demanda,peninsular
2019-02-17,656688.443,Demanda,peninsular
2019-02-18,779646.845,Demanda,peninsular
2019-02-19,789997.493,Demanda,peninsular
2019-02-20,785631.268,Demanda,peninsular
2019-02-21,781135.556,Demanda,peninsular
2019-02-22,771083.106,Demanda,peninsular
2019-02-23,689175.82,Demanda,peninsular
2019-02-24,637452.604,Demanda,peninsular
2019-02-25,750831.906,Demanda,peninsular
2019-02-26,759697.475,Demanda,peninsular
2019-02-27,756324.91,Demanda,peninsular
2019-02-28,742210.124,Demanda,peninsular
2019-03-01,747742.259,Demanda,peninsular
2019-03-02,670242.996,Demanda,peninsular
2019-03-03,621445.195,Demanda,peninsular
2019-03-04,729814.28,Demanda,peninsular
2019-03-05,745164.11,Demanda,peninsular
2019-03-06,767457.592,Demanda,peninsular
