fecha,valor,porcentaje,indicator,region
2022-01-01,115.068,0.5394453091304593,Índice general,peninsular
2022-02-01,109.818,0.5171093709533877,Índice general,peninsular
2022-03-01,115.789,0.5442133067624222,Índice general,peninsular
2022-04-01,111.48,0.5323248384832467,Índice general,peninsular
2022-05-01,124.587,0.5572891272549976,Índice general,peninsular
2022-06-01,125.229,0.56027112274344,Índice general,peninsular
2022-07-01,127.393,0.5864564391759697,Índice general,peninsular
2022-08-01,113.816,0.5866955333900358,Índice general,peninsular
2022-09-01,117.029,0.5580170033806496,Índice general,peninsular
2022-10-01,113.542,0.5524432313029433,Índice general,peninsular
2022-11-01,107.309,0.5345404732254048,Índice general,peninsular
2022-12-01,98.145,0.5347831062046718,Índice general,peninsular
2022-01-01,98.24,0.4588835037507594,Índice general corregido,peninsular
2022-02-01,102.551,0.4824014632730153,Índice general corregido,peninsular
2022-03-01,96.975,0.4445720426445856,Índice general corregido,peninsular
2022-04-01,97.941,0.4593091548840058,Índice general corregido,peninsular
2022-05-01,98.972,0.4417562369836873,Índice general corregido,peninsular
2022-06-01,98.286,0.4381973349379841,Índice general corregido,peninsular
2022-07-01,89.832,0.4075989450469329,Índice general corregido,peninsular
2022-08-01,80.179,0.3993809036510009,Índice general corregido,peninsular
2022-09-01,92.694,0.4269037600123233,Índice general corregido,peninsular
2022-10-01,91.985,0.4331673946928808,Índice general corregido,peninsular
2022-11-01,93.441,0.4453400999926942,Índice general corregido,peninsular
2022-12-01,85.378,0.4405183736857043,Índice general corregido,peninsular
2022-01-01,0.7768367766966487,1.0,Variación mensual,peninsular
2022-02-01,-0.2153468720185443,1.0,Variación mensual,peninsular
2022-03-01,-5.36712543724868,1.0,Variación mensual,peninsular
2022-04-01,-3.8144623428615736,1.0,Variación mensual,peninsular
2022-05-01,0.4831112688324707,1.0,Variación mensual,peninsular
2022-06-01,-0.7812066711563634,1.0,Variación mensual,peninsular
2022-07-01,-3.1681121304946043,1.0,Variación mensual,peninsular
2022-08-01,-6.763221705223147,1.0,Variación mensual,peninsular
