pais,año,valor,energia_per_capita
andorra-frontera,2019,-208.26219,-0.0027047037662337662
andorra-frontera,2020,-196.14561,-0.002537459379042691
andorra-frontera,2021,-225.13509,-0.002901225386597938
andorra-frontera,2022,-285.65297,-0.003666918741976893
andorra-frontera,2023,-240.76221999999999,-0.003078800767263427
andorra-frontera,2024,-235.61481,-0.0030014625477707006
francia-frontera,2019,-3116.290037,-4.651179159701493e-05
francia-frontera,2020,-6192.458406,-9.228701052160954e-05
francia-frontera,2021,-6280.765213,-9.346376805059523e-05
francia-frontera,2022,-13379.618752,-0.00019880562781575037
francia-frontera,2023,-9062.90298,-0.00013446443590504453
francia-frontera,2024,-7093.0059870000005,-0.00010508157017777779
marruecos-frontera,2019,-434.93118,-1.2081421666666666e-05
marruecos-frontera,2020,-706.6107,-1.946585950413223e-05
marruecos-frontera,2021,-509.3926,-1.3917830601092897e-05
marruecos-frontera,2022,-1852.73953,-5.0209743360433606e-05
marruecos-frontera,2023,-2314.855625,-6.222730174731183e-05
marruecos-frontera,2024,-2896.082184,-7.722885824e-05
portugal-frontera,2019,-8099.031121,-0.0007940226589215686
portugal-frontera,2020,-7553.564757,-0.0007369331470243902
portugal-frontera,2021,-9543.490542,-0.0009265524798058251
portugal-frontera,2022,-12315.198475,-0.0011898742487922705
portugal-frontera,2023,-13654.45121,-0.0013129280009615385
portugal-frontera,2024,-14356.428053,-0.0013738208663157895
