fecha,valor,porcentaje,indicator,region
2021-01-01,152.42766666666665,1,Índice servicios,peninsular
2021-02-01,151.49025,1,Índice servicios,peninsular
2021-03-01,151.727,1,Índice servicios,peninsular
2021-04-01,153.41683333333333,1,Índice servicios,peninsular
2021-05-01,154.1035,1,Índice servicios,peninsular
2021-06-01,154.23475,1,Índice servicios,peninsular
2021-07-01,154.58475,1,Índice servicios,peninsular
2021-08-01,154.71066666666667,1,Índice servicios,peninsular
2021-09-01,154.5956666666667,1,Índice servicios,peninsular
2021-10-01,154.36024999999998,1,Índice servicios,peninsular
2021-11-01,154.3165833333333,1,Índice servicios,peninsular
2021-12-01,154.36291666666665,1,Índice servicios,peninsular
2021-01-01,122.1271666666667,1,Índice servicios corregido,peninsular
2021-02-01,121.7889166666667,1,Índice servicios corregido,peninsular
2021-03-01,121.95916666666668,1,Índice servicios corregido,peninsular
2021-04-01,123.64966666666668,1,Índice servicios corregido,peninsular
2021-05-01,124.80616666666668,1,Índice servicios corregido,peninsular
2021-06-01,124.87475,1,Índice servicios corregido,peninsular
2021-07-01,125.56608333333334,1,Índice servicios corregido,peninsular
2021-08-01,125.72008333333332,1,Índice servicios corregido,peninsular
2021-09-01,125.59366666666666,1,Índice servicios corregido,peninsular
2021-10-01,125.04966666666668,1,Índice servicios corregido,peninsular
2021-11-01,125.23016666666666,1,Índice servicios corregido,peninsular
2021-12-01,125.28741666666669,1,Índice servicios corregido,peninsular
2021-01-01,-4.415786926862728,1,Annual variation,peninsular
2021-02-01,-5.541162386127691,1,Annual variation,peninsular
2021-03-01,-4.9974928267713015,1,Annual variation,peninsular
2021-04-01,-3.061586628937434,1,Annual variation,peninsular
2021-05-01,-1.96598999007067,1,Annual variation,peninsular
2021-06-01,-1.2408808199471704,1,Annual variation,peninsular
2021-07-01,-0.710807757010807,1,Annual variation,peninsular
2021-08-01,-0.3143821652152179,1,Annual variation,peninsular
2021-09-01,-0.3001505320752647,1,Annual variation,peninsular
2021-10-01,-0.0386392299352704,1,Annual variation,peninsular
2021-11-01,0.5473147640872305,1,Annual variation,peninsular
2021-12-01,0.8488846955214076,1,Annual variation,peninsular
2021-01-01,-5.533736201756483,1,Corrected annual variation,peninsular
