value,percentage,datetime,pais,año
-3181.766,0.5,2019-01-01,andorra-frontera,2019
-3959.886,0.5,2019-01-02,andorra-frontera,2019
-4407.091,0.5,2019-01-03,andorra-frontera,2019
-4373.999,0.5,2019-01-04,andorra-frontera,2019
-3870.764,0.5,2019-01-05,andorra-frontera,2019
-3493.238,0.5,2019-01-06,andorra-frontera,2019
-4635.404,0.5,2019-01-07,andorra-frontera,2019
-4755.844,0.5,2019-01-08,andorra-frontera,2019
-4630.046,0.5,2019-01-09,andorra-frontera,2019
-4975.863,0.5,2019-01-10,andorra-frontera,2019
-5113.627,0.5,2019-01-11,andorra-frontera,2019
-4609.656,0.5,2019-01-12,andorra-frontera,2019
-4115.275,0.5,2019-01-13,andorra-frontera,2019
-4635.49,0.5,2019-01-14,andorra-frontera,2019
-4733.726,0.5,2019-01-15,andorra-frontera,2019
-4009.047,0.5,2019-01-16,andorra-frontera,2019
-4437.375,0.5,2019-01-17,andorra-frontera,2019
-4638.427,0.5,2019-01-18,andorra-frontera,2019
-4155.883,0.5,2019-01-19,andorra-frontera,2019
-4018.464,0.5,2019-01-20,andorra-frontera,2019
-4162.536,0.5,2019-01-21,andorra-frontera,2019
-5049.043,0.5,2019-01-22,andorra-frontera,2019
-5085.763,0.5,2019-01-23,andorra-frontera,2019
-4912.013,0.5,2019-01-24,andorra-frontera,2019
-4929.206,0.5,2019-01-25,andorra-frontera,2019
-4057.69,0.5,2019-01-26,andorra-frontera,2019
-3555.187,0.5,2019-01-27,andorra-frontera,2019
-4435.085,0.5,2019-01-28,andorra-frontera,2019
-4790.75,0.5,2019-01-29,andorra-frontera,2019
-4736.535,0.5,2019-01-30,andorra-frontera,2019
-4790.319,0.5,2019-01-31,andorra-frontera,2019
-4331.836,0.5,2019-02-01,andorra-frontera,2019
-4095.706,0.5,2019-02-02,andorra-frontera,2019
-3939.58,0.5,2019-02-03,andorra-frontera,2019
-4884.019,0.5,2019-02-04,andorra-frontera,2019
-4806.519,0.5,2019-02-05,andorra-frontera,2019
-4565.376,0.5,2019-02-06,andorra-frontera,2019
-4538.937,0.5,2019-02-07,andorra-frontera,2019
-4543.776,0.5,2019-02-08,andorra-frontera,2019
-4015.7,0.5,2019-02-09,andorra-frontera,2019
-3480.192,0.5,2019-02-10,andorra-frontera,2019
-4347.388,0.5,2019-02-11,andorra-frontera,2019
-4508.267,0.5,2019-02-12,andorra-frontera,2019
-4477.204,0.5,2019-02-13,andorra-frontera,2019
-4500.23,0.5,2019-02-14,andorra-frontera,2019
-4410.418,0.5,2019-02-15,andorra-frontera,2019
-3804.581,0.5,2019-02-16,andorra-frontera,2019
-3521.015,0.5,2019-02-17,andorra-frontera,2019
-4376.464,0.5,2019-02-18,andorra-frontera,2019
-4380.652,0.5,2019-02-19,andorra-frontera,2019
-4353.264,0.5,2019-02-20,andorra-frontera,2019
-4606.416,0.5,2019-02-21,andorra-frontera,2019
-4436.64,0.5,2019-02-22,andorra-frontera,2019
-3971.808,0.5,2019-02-23,andorra-frontera,2019
-3478.939,0.5,2019-02-24,andorra-frontera,2019
-4177.527,0.5,2019-02-25,andorra-frontera,2019
-4162.492,0.5,2019-02-26,andorra-frontera,2019
-4275.936,0.5,2019-02-27,andorra-frontera,2019
-4232.737,0.5,2019-02-28,andorra-frontera,2019
-3602.231,0.5,2019-03-01,andorra-frontera,2019
-3639.643,0.5,2019-03-02,andorra-frontera,2019
-3460.709,0.5,2019-03-03,andorra-frontera,2019
-4000.32,0.5,2019-03-04,andorra-frontera,2019
-3984.336,0.5,2019-03-05,andorra-frontera,2019
-4019.803,0.5,2019-03-06,andorra-frontera,2019
-4073.804,0.5,2019-03-07,andorra-frontera,2019
-4043.434,0.5,2019-03-08,andorra-frontera,2019
-3775.679,0.5,2019-03-09,andorra-frontera,2019
-3253.003,0.5,2019-03-10,andorra-frontera,2019
-4182.02,0.5,2019-03-11,andorra-frontera,2019
-4090.133,0.5,2019-03-12,andorra-frontera,2019
-4312.31,0.5,2019-03-13,andorra-frontera,2019
-4238.352,0.5,2019-03-14,andorra-frontera,2019
-4310.712,0.5,2019-03-15,andorra-frontera,2019
-3609.317,0.5,2019-03-16,andorra-frontera,2019
-3241.987,0.5,2019-03-17,andorra-frontera,2019
-4002.782,0.5,2019-03-18,andorra-frontera,2019
-4413.053,0.5,2019-03-19,andorra-frontera,2019
-4623.091,0.5,2019-03-20,andorra-frontera,2019
-4462.517,0.5,2019-03-21,andorra-frontera,2019
-4392.576,0.5,2019-03-22,andorra-frontera,2019
-3828.298,0.5,2019-03-23,andorra-frontera,2019
-3276.288,0.5,2019-03-24,andorra-frontera,2019
-4011.725,0.5,2019-03-25,andorra-frontera,2019
-4094.539,0.5,2019-03-26,andorra-frontera,2019
-4078.685,0.5,2019-03-27,andorra-frontera,2019
-4107.369,0.5,2019-03-28,andorra-frontera,2019
-4163.443,0.5,2019-03-29,andorra-frontera,2019
-3835.081,0.5,2019-03-30,andorra-frontera,2019
-3198.096,0.5,2019-03-31,andorra-frontera,2019
-3907.872,0.5,2019-04-01,andorra-frontera,2019
-4067.236,0.5,2019-04-02,andorra-frontera,2019
-4248.375,0.5,2019-04-03,andorra-frontera,2019
-4333.305,0.5,2019-04-04,andorra-frontera,2019
-4354.085,0.5,2019-04-05,andorra-frontera,2019
-4005.59,0.5,2019-04-06,andorra-frontera,2019
-3663.231,0.5,2019-04-07,andorra-frontera,2019
-4447.743,0.5,2019-04-08,andorra-frontera,2019
-4349.937,0.5,2019-04-09,andorra-frontera,2019
-2988.619,0.5,2019-04-10,andorra-frontera,2019
-4216.924,0.5,2019-04-11,andorra-frontera,2019
-4192.302,0.5,2019-04-12,andorra-frontera,2019
-3885.062,0.5,2019-04-13,andorra-frontera,2019
-3584.52,0.5,2019-04-14,andorra-frontera,2019
-4356.331,0.5,2019-04-15,andorra-frontera,2019
-4324.234,0.5,2019-04-16,andorra-frontera,2019
