value,percentage,datetime,pais,año
-208.239,0.0034653891349976,2019-01-01,francia-frontera,2019
-2325.553,0.0368569362039913,2019-01-02,francia-frontera,2019
-11123.719,0.2437667365136054,2019-01-03,francia-frontera,2019
-17758.093,0.3979784869527925,2019-01-04,francia-frontera,2019
-4267.317,0.1023856041034886,2019-01-05,francia-frontera,2019
-4074.433,0.0734651702472653,2019-01-06,francia-frontera,2019
-24461.368,0.504171757053259,2019-01-07,francia-frontera,2019
-2103.311,0.0464606432608419,2019-01-08,francia-frontera,2019
-4806.703,0.1140821588497719,2019-01-09,francia-frontera,2019
-54209.031,0.7864641115183972,2019-01-10,francia-frontera,2019
-36573.953,0.7306291921237217,2019-01-11,francia-frontera,2019
-3873.772,0.0600515881874829,2019-01-12,francia-frontera,2019
-4316.689,0.0747728932354098,2019-01-13,francia-frontera,2019
-4997.194,0.1042746893921159,2019-01-14,francia-frontera,2019
-1579.573,0.0294381626157533,2019-01-15,francia-frontera,2019
-582.492,0.0108402272232159,2019-01-16,francia-frontera,2019
-2544.738,0.0449181329078174,2019-01-17,francia-frontera,2019
-14531.699,0.3189101482989241,2019-01-18,francia-frontera,2019
-10882.802,0.36479535724349,2019-01-19,francia-frontera,2019
-32357.255,0.7978295370997798,2019-01-20,francia-frontera,2019
-34334.159,0.8796573180045374,2019-01-21,francia-frontera,2019
-41787.12,0.9214091232625644,2019-01-22,francia-frontera,2019
-58089.824,0.9802482335566194,2019-01-23,francia-frontera,2019
-57539.844,0.9759582200549882,2019-01-24,francia-frontera,2019
-48577.274,0.9061624688265324,2019-01-25,francia-frontera,2019
-1621.704,0.025012091512658,2019-01-26,francia-frontera,2019
-8662.118,0.1943213706850621,2019-01-27,francia-frontera,2019
-18187.34,0.5912879396843608,2019-01-28,francia-frontera,2019
-29208.312,0.7549132417315552,2019-01-29,francia-frontera,2019
-24964.313,0.8518545741004037,2019-01-30,francia-frontera,2019
-50188.838,0.9658886755870094,2019-01-31,francia-frontera,2019
-53184.201,0.9932286504222428,2019-02-01,francia-frontera,2019
-47360.497,0.8978285270532554,2019-02-02,francia-frontera,2019
-9687.85,0.3178755217850969,2019-02-03,francia-frontera,2019
-4091.797,0.0786279057210019,2019-02-04,francia-frontera,2019
-3426.873,0.0779357455890133,2019-02-05,francia-frontera,2019
-1846.84,0.0251593839288556,2019-02-06,francia-frontera,2019
-1259.818,0.0172759333313732,2019-02-07,francia-frontera,2019
-3477.3,0.0437360791938856,2019-02-08,francia-frontera,2019
-4441.667,0.054366018989337,2019-02-09,francia-frontera,2019
-3783.525,0.0690014466955446,2019-02-10,francia-frontera,2019
-3820.524,0.0499610298568926,2019-02-11,francia-frontera,2019
-4794.514,0.0651643335855586,2019-02-12,francia-frontera,2019
-6422.034,0.0901561477400147,2019-02-13,francia-frontera,2019
-3882.683,0.0700373629239946,2019-02-14,francia-frontera,2019
-1499.411,0.0204920211059435,2019-02-15,francia-frontera,2019
-1822.398,0.0247466181293483,2019-02-16,francia-frontera,2019
-2912.931,0.0432338549674182,2019-02-17,francia-frontera,2019
-1415.448,0.020351117772471,2019-02-18,francia-frontera,2019
-1673.747,0.0218913005875511,2019-02-19,francia-frontera,2019
-2459.378,0.0323246966887459,2019-02-20,francia-frontera,2019
-2491.066,0.0334060509213543,2019-02-21,francia-frontera,2019
-1974.125,0.0265031254389218,2019-02-22,francia-frontera,2019
