datetime,value,percentage,indicator,region,Type
2019-01-01T00:00:00.000+01:00,53722.12,0.09773493721679535,Hidráulica,canarias,Renovable
2019-01-02T00:00:00.000+01:00,61294.768,0.08633071982961857,Hidráulica,canarias,Renovable
2019-01-03T00:00:00.000+01:00,82981.951,0.11598868142579596,Hidráulica,canarias,Renovable
2019-01-04T00:00:00.000+01:00,94301.94,0.12512123640144565,Hidráulica,canarias,Renovable
2019-01-05T00:00:00.000+01:00,58822.692,0.08663273800637265,Hidráulica,canarias,Renovable
2019-01-06T00:00:00.000+01:00,42064.747,0.06369379791612052,Hidráulica,canarias,Renovable
2019-01-07T00:00:00.000+01:00,66708.373,0.08671708652684768,Hidráulica,canarias,Renovable
2019-01-08T00:00:00.000+01:00,68044.833,0.08364558955760906,Hidráulica,canarias,Renovable
2019-01-09T00:00:00.000+01:00,48716.673,0.05751409961412111,Hidráulica,canarias,Renovable
2019-01-10T00:00:00.000+01:00,62288.159,0.0717181682236394,Hidráulica,canarias,Renovable
2019-01-11T00:00:00.000+01:00,64303.769,0.07485708585600653,Hidráulica,canarias,Renovable
2019-01-12T00:00:00.000+01:00,36415.318,0.04925953361283357,Hidráulica,canarias,Renovable
2019-01-13T00:00:00.000+01:00,42369.957,0.059105248935191076,Hidráulica,canarias,Renovable
2019-01-14T00:00:00.000+01:00,53598.566,0.06417252417151825,Hidráulica,canarias,Renovable
2019-01-15T00:00:00.000+01:00,81267.421,0.10121371613496673,Hidráulica,canarias,Renovable
2019-01-16T00:00:00.000+01:00,82944.481,0.10212649526569596,Hidráulica,canarias,Renovable
2019-01-17T00:00:00.000+01:00,72981.884,0.09305896742063643,Hidráulica,canarias,Renovable
2019-01-18T00:00:00.000+01:00,101622.441,0.12293666242012279,Hidráulica,canarias,Renovable
2019-01-19T00:00:00.000+01:00,69273.204,0.09442816035003526,Hidráulica,canarias,Renovable
2019-01-20T00:00:00.000+01:00,47734.816,0.06597183656347443,Hidráulica,canarias,Renovable
2019-01-21T00:00:00.000+01:00,91299.463,0.10896569991896175,Hidráulica,canarias,Renovable
2019-01-22T00:00:00.000+01:00,76301.055,0.08667985639407136,Hidráulica,canarias,Renovable
2019-01-23T00:00:00.000+01:00,64317.281,0.07162054181168073,Hidráulica,canarias,Renovable
2019-01-24T00:00:00.000+01:00,71281.067,0.07927611231609628,Hidráulica,canarias,Renovable
2019-01-25T00:00:00.000+01:00,76711.708,0.08663533826706404,Hidráulica,canarias,Renovable
2019-01-26T00:00:00.000+01:00,68907.867,0.09914120670277517,Hidráulica,canarias,Renovable
2019-01-27T00:00:00.000+01:00,54595.836,0.07556691394134371,Hidráulica,canarias,Renovable
2019-01-28T00:00:00.000+01:00,76405.736,0.09224792522916536,Hidráulica,canarias,Renovable
2019-01-29T00:00:00.000+01:00,78839.109,0.09160987986769265,Hidráulica,canarias,Renovable
2019-01-30T00:00:00.000+01:00,85928.214,0.10091907122078056,Hidráulica,canarias,Renovable
2019-01-31T00:00:00.000+01:00,91169.602,0.10483014371941991,Hidráulica,canarias,Renovable
2019-02-01T00:00:00.000+01:00,104180.249,0.12150473478490859,Hidráulica,canarias,Renovable
2019-02-02T00:00:00.000+01:00,104172.754,0.13032071155544253,Hidráulica,canarias,Renovable
2019-02-03T00:00:00.000+01:00,103565.911,0.139233295174752,Hidráulica,canarias,Renovable
2019-02-04T00:00:00.000+01:00,112595.836,0.134753870212343,Hidráulica,canarias,Renovable
2019-02-05T00:00:00.000+01:00,113328.801,0.13888865215596896,Hidráulica,canarias,Renovable
2019-02-06T00:00:00.000+01:00,104095.745,0.13368623086407735,Hidráulica,canarias,Renovable
2019-02-07T00:00:00.000+01:00,104841.916,0.1375093458970334,Hidráulica,canarias,Renovable
2019-02-08T00:00:00.000+01:00,96035.63,0.12570312955688856,Hidráulica,canarias,Renovable
2019-02-09T00:00:00.000+01:00,88929.275,0.12943275580654806,Hidráulica,canarias,Renovable
2019-02-10T00:00:00.000+01:00,77094.103,0.10968015489103711,Hidráulica,canarias,Renovable
2019-02-11T00:00:00.000+01:00,86087.283,0.115332290969283,Hidráulica,canarias,Renovable
2019-02-12T00:00:00.000+01:00,102813.641,0.13875778531517372,Hidráulica,canarias,Renovable
2019-02-13T00:00:00.000+01:00,102627.126,0.13647702525063501,Hidráulica,canarias,Renovable
2019-02-14T00:00:00.000+01:00,85739.273,0.1125165674635873,Hidráulica,canarias,Renovable
2019-02-15T00:00:00.000+01:00,90038.415,0.12533160530059795,Hidráulica,canarias,Renovable
2019-02-16T00:00:00.000+01:00,76773.291,0.11646983546917446,Hidráulica,canarias,Renovable
2019-02-17T00:00:00.000+01:00,66533.326,0.10208581097311663,Hidráulica,canarias,Renovable
2019-02-18T00:00:00.000+01:00,92032.562,0.1259039337510329,Hidráulica,canarias,Renovable
2019-02-19T00:00:00.000+01:00,101558.298,0.14186401604145157,Hidráulica,canarias,Renovable
2019-02-20T00:00:00.000+01:00,85119.485,0.11660949693490108,Hidráulica,canarias,Renovable
2019-02-21T00:00:00.000+01:00,76568.369,0.1049218560532076,Hidráulica,canarias,Renovable
2019-02-22T00:00:00.000+01:00,72749.435,0.10419865652928897,Hidráulica,canarias,Renovable
2019-02-23T00:00:00.000+01:00,62126.142,0.09518518094743357,Hidráulica,canarias,Renovable
2019-02-24T00:00:00.000+01:00,64015.484,0.10462269021968336,Hidráulica,canarias,Renovable
2019-02-25T00:00:00.000+01:00,89367.789,0.12949033047496122,Hidráulica,canarias,Renovable
2019-02-26T00:00:00.000+01:00,72981.411,0.10587853491551452,Hidráulica,canarias,Renovable
2019-02-27T00:00:00.000+01:00,76836.854,0.11210087645524174,Hidráulica,canarias,Renovable
2019-02-28T00:00:00.000+01:00,70597.07,0.10440337698131173,Hidráulica,canarias,Renovable
2019-03-01T00:00:00.000+01:00,77828.26,0.11803718592693506,Hidráulica,canarias,Renovable
2019-03-02T00:00:00.000+01:00,62615.899,0.0999398671179405,Hidráulica,canarias,Renovable
2019-03-03T00:00:00.000+01:00,48510.165,0.07780288099447648,Hidráulica,canarias,Renovable
2019-03-04T00:00:00.000+01:00,56357.327,0.0801701040498836,Hidráulica,canarias,Renovable
2019-03-05T00:00:00.000+01:00,58100.225,0.08826827966817676,Hidráulica,canarias,Renovable
2019-03-06T00:00:00.000+01:00,58857.557,0.07774665544238048,Hidráulica,canarias,Renovable
2019-03-07T00:00:00.000+01:00,75680.486,0.1073848394881237,Hidráulica,canarias,Renovable
2019-03-08T00:00:00.000+01:00,96360.601,0.1487940844312838,Hidráulica,canarias,Renovable
2019-03-09T00:00:00.000+01:00,95355.217,0.15603034117007378,Hidráulica,canarias,Renovable
2019-03-10T00:00:00.000+01:00,67930.593,0.1135206922443081,Hidráulica,canarias,Renovable
2019-03-11T00:00:00.000+01:00,93095.752,0.13659930298954714,Hidráulica,canarias,Renovable
2019-03-12T00:00:00.000+01:00,84070.739,0.12201481928432509,Hidráulica,canarias,Renovable
2019-03-13T00:00:00.000+01:00,67874.114,0.09729143530114939,Hidráulica,canarias,Renovable
2019-03-14T00:00:00.000+01:00,85056.201,0.12007222594978166,Hidráulica,canarias,Renovable
2019-03-15T00:00:00.000+01:00,98765.013,0.14288523070179185,Hidráulica,canarias,Renovable
2019-03-16T00:00:00.000+01:00,76181.066,0.1230162911563224,Hidráulica,canarias,Renovable
2019-03-17T00:00:00.000+01:00,42552.491,0.06692144752144631,Hidráulica,canarias,Renovable
2019-03-18T00:00:00.000+01:00,62634.501,0.09368559419326392,Hidráulica,canarias,Renovable
2019-03-19T00:00:00.000+01:00,63470.908,0.09539423732543145,Hidráulica,canarias,Renovable
2019-03-20T00:00:00.000+01:00,65301.482,0.093290207263607,Hidráulica,canarias,Renovable
2019-03-21T00:00:00.000+01:00,81165.931,0.1185545605243587,Hidráulica,canarias,Renovable
2019-03-22T00:00:00.000+01:00,105209.649,0.15490260267968087,Hidráulica,canarias,Renovable
2019-03-23T00:00:00.000+01:00,74580.473,0.12080602447562155,Hidráulica,canarias,Renovable
2019-03-24T00:00:00.000+01:00,47572.518,0.08021569754736516,Hidráulica,canarias,Renovable
2019-03-25T00:00:00.000+01:00,48328.245,0.06771117613027368,Hidráulica,canarias,Renovable
2019-03-26T00:00:00.000+01:00,44191.178,0.06071458738510079,Hidráulica,canarias,Renovable
2019-03-27T00:00:00.000+01:00,49260.606,0.07053118714563367,Hidráulica,canarias,Renovable
2019-03-28T00:00:00.000+01:00,60620.753,0.08506527264817736,Hidráulica,canarias,Renovable
2019-03-29T00:00:00.000+01:00,72619.928,0.10319976826271529,Hidráulica,canarias,Renovable
2019-03-30T00:00:00.000+01:00,50638.578,0.07895744801426384,Hidráulica,canarias,Renovable
2019-03-31T00:00:00.000+01:00,61880.832,0.10753649709749205,Hidráulica,canarias,Renovable
2019-04-01T00:00:00.000+02:00,86710.531,0.1318162435172508,Hidráulica,canarias,Renovable
2019-04-02T00:00:00.000+02:00,83164.935,0.12552227889145376,Hidráulica,canarias,Renovable
2019-04-03T00:00:00.000+02:00,65400.943,0.09637384263241348,Hidráulica,canarias,Renovable
2019-04-04T00:00:00.000+02:00,62710.157,0.08884017178005343,Hidráulica,canarias,Renovable
2019-04-05T00:00:00.000+02:00,73535.245,0.10561365749129163,Hidráulica,canarias,Renovable
2019-04-06T00:00:00.000+02:00,55856.409,0.08447147654392886,Hidráulica,canarias,Renovable
2019-04-07T00:00:00.000+02:00,50757.459,0.08147367634154119,Hidráulica,canarias,Renovable
2019-04-08T00:00:00.000+02:00,59284.298,0.08654127533804651,Hidráulica,canarias,Renovable
2019-04-09T00:00:00.000+02:00,55846.571,0.07874064082529389,Hidráulica,canarias,Renovable
2019-04-10T00:00:00.000+02:00,57950.714,0.08133283092391357,Hidráulica,canarias,Renovable
2019-04-11T00:00:00.000+02:00,66323.71,0.09296506905656736,Hidráulica,canarias,Renovable
2019-04-12T00:00:00.000+02:00,65634.563,0.09558520102127586,Hidráulica,canarias,Renovable
2019-04-13T00:00:00.000+02:00,56056.423,0.09424549751022594,Hidráulica,canarias,Renovable
2019-04-14T00:00:00.000+02:00,49512.139,0.08687342328960523,Hidráulica,canarias,Renovable
2019-04-15T00:00:00.000+02:00,59450.39,0.08975671638610601,Hidráulica,canarias,Renovable
2019-04-16T00:00:00.000+02:00,67173.002,0.10064193651159299,Hidráulica,canarias,Renovable
2019-04-17T00:00:00.000+02:00,75126.82,0.1084577593766846,Hidráulica,canarias,Renovable
2019-04-18T00:00:00.000+02:00,72748.267,0.11762759357297077,Hidráulica,canarias,Renovable
2019-04-19T00:00:00.000+02:00,51486.163,0.08372858343664179,Hidráulica,canarias,Renovable
2019-04-20T00:00:00.000+02:00,48578.534,0.0758898481320514,Hidráulica,canarias,Renovable
2019-04-21T00:00:00.000+02:00,57292.882,0.10206448847171093,Hidráulica,canarias,Renovable
2019-04-22T00:00:00.000+02:00,58267.131,0.09675349570015808,Hidráulica,canarias,Renovable
2019-04-23T00:00:00.000+02:00,60092.265,0.09138404746534501,Hidráulica,canarias,Renovable
2019-04-24T00:00:00.000+02:00,59195.278,0.08201279328450063,Hidráulica,canarias,Renovable
2019-04-25T00:00:00.000+02:00,61237.828,0.08426262337327019,Hidráulica,canarias,Renovable
2019-04-26T00:00:00.000+02:00,72762.566,0.10442541197848895,Hidráulica,canarias,Renovable
2019-04-27T00:00:00.000+02:00,71665.25,0.12028761161915831,Hidráulica,canarias,Renovable
2019-04-28T00:00:00.000+02:00,63891.766,0.1083070615165936,Hidráulica,canarias,Renovable
2019-04-29T00:00:00.000+02:00,79309.222,0.12340285021773696,Hidráulica,canarias,Renovable
2019-04-30T00:00:00.000+02:00,79043.951,0.12402780940449998,Hidráulica,canarias,Renovable
2019-05-01T00:00:00.000+02:00,65790.781,0.11190373777485738,Hidráulica,canarias,Renovable
2019-05-02T00:00:00.000+02:00,60145.885,0.08849001367703421,Hidráulica,canarias,Renovable
2019-05-03T00:00:00.000+02:00,62890.086,0.09346034530823394,Hidráulica,canarias,Renovable
2019-05-04T00:00:00.000+02:00,61320.945,0.09714964913943643,Hidráulica,canarias,Renovable
2019-05-05T00:00:00.000+02:00,54024.643,0.08756555546849817,Hidráulica,canarias,Renovable
2019-05-06T00:00:00.000+02:00,73665.167,0.11751838689565927,Hidráulica,canarias,Renovable
2019-05-07T00:00:00.000+02:00,64011.313,0.09331021452671581,Hidráulica,canarias,Renovable
2019-05-08T00:00:00.000+02:00,54963.716,0.07516186416854236,Hidráulica,canarias,Renovable
2019-05-09T00:00:00.000+02:00,63183.312,0.0895408415425732,Hidráulica,canarias,Renovable
2019-05-10T00:00:00.000+02:00,72405.099,0.10580068249171802,Hidráulica,canarias,Renovable
2019-05-11T00:00:00.000+02:00,64702.823,0.1029847706510564,Hidráulica,canarias,Renovable
2019-05-12T00:00:00.000+02:00,55055.521,0.08941617058512509,Hidráulica,canarias,Renovable
2019-05-13T00:00:00.000+02:00,60718.191,0.08833733206488475,Hidráulica,canarias,Renovable
2019-05-14T00:00:00.000+02:00,64041.88,0.097738401611126,Hidráulica,canarias,Renovable
2019-05-15T00:00:00.000+02:00,69272.652,0.10573645843028394,Hidráulica,canarias,Renovable
2019-05-16T00:00:00.000+02:00,62899.421,0.09456128271645478,Hidráulica,canarias,Renovable
2019-05-17T00:00:00.000+02:00,60631.528,0.08265247668870725,Hidráulica,canarias,Renovable
2019-05-18T00:00:00.000+02:00,59441.201,0.09458900825813783,Hidráulica,canarias,Renovable
2019-05-19T00:00:00.000+02:00,55578.994,0.09010935217487519,Hidráulica,canarias,Renovable
2019-05-20T00:00:00.000+02:00,67545.69,0.10619241425551271,Hidráulica,canarias,Renovable
2019-05-21T00:00:00.000+02:00,71209.292,0.11259240222710462,Hidráulica,canarias,Renovable
2019-05-22T00:00:00.000+02:00,69398.246,0.10742837356076261,Hidráulica,canarias,Renovable
2019-05-23T00:00:00.000+02:00,63438.745,0.09840041150178568,Hidráulica,canarias,Renovable
2019-05-24T00:00:00.000+02:00,62559.649,0.0912640985204972,Hidráulica,canarias,Renovable
2019-05-25T00:00:00.000+02:00,60768.033,0.09368372802525925,Hidráulica,canarias,Renovable
2019-05-26T00:00:00.000+02:00,58032.001,0.09463940652365016,Hidráulica,canarias,Renovable
2019-05-27T00:00:00.000+02:00,61808.632,0.09097551182191711,Hidráulica,canarias,Renovable
2019-05-28T00:00:00.000+02:00,56754.222,0.07886998412630003,Hidráulica,canarias,Renovable
2019-05-29T00:00:00.000+02:00,57183.699,0.07997105559501702,Hidráulica,canarias,Renovable
2019-05-30T00:00:00.000+02:00,57605.918,0.08459132019072473,Hidráulica,canarias,Renovable
2019-05-31T00:00:00.000+02:00,64320.3,0.09539643795277614,Hidráulica,canarias,Renovable
2019-06-01T00:00:00.000+02:00,56254.449,0.08912974684837899,Hidráulica,canarias,Renovable
2019-06-02T00:00:00.000+02:00,51465.516,0.08174032879615555,Hidráulica,canarias,Renovable
2019-06-03T00:00:00.000+02:00,59856.073,0.08669061217692517,Hidráulica,canarias,Renovable
2019-06-04T00:00:00.000+02:00,52352.923,0.07044159656007801,Hidráulica,canarias,Renovable
2019-06-05T00:00:00.000+02:00,58058.208,0.07942554901120298,Hidráulica,canarias,Renovable
2019-06-06T00:00:00.000+02:00,55199.435,0.07695346870690227,Hidráulica,canarias,Renovable
2019-06-07T00:00:00.000+02:00,60463.371,0.08372250670202078,Hidráulica,canarias,Renovable
2019-06-08T00:00:00.000+02:00,50295.851,0.07743472773200277,Hidráulica,canarias,Renovable
2019-06-09T00:00:00.000+02:00,50135.334,0.08217404761687745,Hidráulica,canarias,Renovable
2019-06-10T00:00:00.000+02:00,48870.419,0.0732932562685222,Hidráulica,canarias,Renovable
2019-06-11T00:00:00.000+02:00,54506.872,0.07853649348007684,Hidráulica,canarias,Renovable
2019-06-12T00:00:00.000+02:00,55155.489,0.08099025283790347,Hidráulica,canarias,Renovable
2019-06-13T00:00:00.000+02:00,44545.289,0.06414792411586413,Hidráulica,canarias,Renovable
2019-06-14T00:00:00.000+02:00,48348.787,0.0699432740174607,Hidráulica,canarias,Renovable
2019-06-15T00:00:00.000+02:00,45666.576,0.0707148958161875,Hidráulica,canarias,Renovable
2019-06-16T00:00:00.000+02:00,48807.575,0.08236899178195246,Hidráulica,canarias,Renovable
2019-06-17T00:00:00.000+02:00,55000.143,0.07921383948362169,Hidráulica,canarias,Renovable
2019-06-18T00:00:00.000+02:00,46470.206,0.06403950504724011,Hidráulica,canarias,Renovable
2019-06-19T00:00:00.000+02:00,62466.912,0.08731284608624484,Hidráulica,canarias,Renovable
2019-06-20T00:00:00.000+02:00,55410.277,0.07843784345625596,Hidráulica,canarias,Renovable
2019-06-21T00:00:00.000+02:00,61193.978,0.08621874159667599,Hidráulica,canarias,Renovable
2019-06-22T00:00:00.000+02:00,49615.94,0.0746169034121487,Hidráulica,canarias,Renovable
2019-06-23T00:00:00.000+02:00,47906.34,0.07603418100236063,Hidráulica,canarias,Renovable
2019-06-24T00:00:00.000+02:00,53653.303,0.07922451092854708,Hidráulica,canarias,Renovable
2019-06-25T00:00:00.000+02:00,66842.34,0.09178665843914958,Hidráulica,canarias,Renovable
2019-06-26T00:00:00.000+02:00,61690.735,0.08030965957880333,Hidráulica,canarias,Renovable
2019-06-27T00:00:00.000+02:00,57634.725,0.07331071333952738,Hidráulica,canarias,Renovable
2019-06-28T00:00:00.000+02:00,67458.405,0.08787430331280106,Hidráulica,canarias,Renovable
2019-06-29T00:00:00.000+02:00,51350.233,0.07307610587728786,Hidráulica,canarias,Renovable
2019-06-30T00:00:00.000+02:00,50227.272,0.07485265505953427,Hidráulica,canarias,Renovable
2019-07-01T00:00:00.000+02:00,61219.397,0.0781695558367579,Hidráulica,canarias,Renovable
2019-07-02T00:00:00.000+02:00,55884.912,0.07040481076268855,Hidráulica,canarias,Renovable
2019-07-03T00:00:00.000+02:00,58365.793,0.07426721938083294,Hidráulica,canarias,Renovable
2019-07-04T00:00:00.000+02:00,58719.565,0.07547810282264797,Hidráulica,canarias,Renovable
2019-07-05T00:00:00.000+02:00,74470.48,0.09614460911194478,Hidráulica,canarias,Renovable
2019-07-06T00:00:00.000+02:00,47373.596,0.0679030444846336,Hidráulica,canarias,Renovable
2019-07-07T00:00:00.000+02:00,41384.762,0.06120389063176747,Hidráulica,canarias,Renovable
2019-07-08T00:00:00.000+02:00,42322.119,0.05524189943624365,Hidráulica,canarias,Renovable
2019-07-09T00:00:00.000+02:00,45071.027,0.05939023157709426,Hidráulica,canarias,Renovable
2019-07-10T00:00:00.000+02:00,50529.696,0.06722597962747869,Hidráulica,canarias,Renovable
2019-07-11T00:00:00.000+02:00,63657.342,0.08295355369253907,Hidráulica,canarias,Renovable
2019-07-12T00:00:00.000+02:00,77312.018,0.10026852860771068,Hidráulica,canarias,Renovable
2019-07-13T00:00:00.000+02:00,42480.454,0.05848527343474421,Hidráulica,canarias,Renovable
2019-07-14T00:00:00.000+02:00,34916.936,0.051404625766137656,Hidráulica,canarias,Renovable
2019-07-15T00:00:00.000+02:00,51546.359,0.06647555672591177,Hidráulica,canarias,Renovable
2019-07-16T00:00:00.000+02:00,57850.291,0.07427122704000336,Hidráulica,canarias,Renovable
2019-07-17T00:00:00.000+02:00,55617.077,0.0726373717340519,Hidráulica,canarias,Renovable
2019-07-18T00:00:00.000+02:00,52367.134,0.06804548086087721,Hidráulica,canarias,Renovable
2019-07-19T00:00:00.000+02:00,54206.313,0.06897552217837304,Hidráulica,canarias,Renovable
2019-07-20T00:00:00.000+02:00,44489.6,0.059990722780780784,Hidráulica,canarias,Renovable
2019-07-21T00:00:00.000+02:00,38978.534,0.05621141183176324,Hidráulica,canarias,Renovable
2019-07-22T00:00:00.000+02:00,54411.812,0.06667772443320814,Hidráulica,canarias,Renovable
2019-07-23T00:00:00.000+02:00,60251.389,0.07262736228882187,Hidráulica,canarias,Renovable
2019-07-24T00:00:00.000+02:00,69122.685,0.08217127080138056,Hidráulica,canarias,Renovable
2019-07-25T00:00:00.000+02:00,57479.699,0.06867597910412235,Hidráulica,canarias,Renovable
2019-07-26T00:00:00.000+02:00,46356.943,0.0580827190978314,Hidráulica,canarias,Renovable
2019-07-27T00:00:00.000+02:00,35340.335,0.048504960754602006,Hidráulica,canarias,Renovable
2019-07-28T00:00:00.000+02:00,34430.145,0.0518795334881807,Hidráulica,canarias,Renovable
2019-07-29T00:00:00.000+02:00,40530.019,0.05395487554724052,Hidráulica,canarias,Renovable
2019-07-30T00:00:00.000+02:00,38216.282,0.05062265270905413,Hidráulica,canarias,Renovable
2019-07-31T00:00:00.000+02:00,37342.204,0.04780547381744399,Hidráulica,canarias,Renovable
2019-08-01T00:00:00.000+02:00,39828.088,0.05060522337377425,Hidráulica,canarias,Renovable
2019-08-02T00:00:00.000+02:00,39977.344,0.05299396651709687,Hidráulica,canarias,Renovable
2019-08-03T00:00:00.000+02:00,34210.193,0.0486957932370007,Hidráulica,canarias,Renovable
2019-08-04T00:00:00.000+02:00,34169.662,0.05142490637176949,Hidráulica,canarias,Renovable
2019-08-05T00:00:00.000+02:00,40534.909,0.0552285356280519,Hidráulica,canarias,Renovable
2019-08-06T00:00:00.000+02:00,44228.793,0.05847979361355697,Hidráulica,canarias,Renovable
2019-08-07T00:00:00.000+02:00,43476.75,0.05689986712521407,Hidráulica,canarias,Renovable
2019-08-08T00:00:00.000+02:00,37082.991,0.04688289360475367,Hidráulica,canarias,Renovable
2019-08-09T00:00:00.000+02:00,38927.905,0.04849191628390351,Hidráulica,canarias,Renovable
2019-08-10T00:00:00.000+02:00,37421.994,0.053852281760053106,Hidráulica,canarias,Renovable
2019-08-11T00:00:00.000+02:00,30600.823,0.04704902940047677,Hidráulica,canarias,Renovable
2019-08-12T00:00:00.000+02:00,32028.61,0.044704430093381695,Hidráulica,canarias,Renovable
2019-08-13T00:00:00.000+02:00,36679.781,0.051572448709719505,Hidráulica,canarias,Renovable
2019-08-14T00:00:00.000+02:00,40777.391,0.05797328622784439,Hidráulica,canarias,Renovable
2019-08-15T00:00:00.000+02:00,35044.104,0.052371149276184796,Hidráulica,canarias,Renovable
2019-08-16T00:00:00.000+02:00,38474.135,0.05605268864313632,Hidráulica,canarias,Renovable
2019-08-17T00:00:00.000+02:00,34782.138,0.05070304163252476,Hidráulica,canarias,Renovable
2019-08-18T00:00:00.000+02:00,33507.399,0.05253474846016946,Hidráulica,canarias,Renovable
2019-08-19T00:00:00.000+02:00,39245.61,0.05431527945679974,Hidráulica,canarias,Renovable
2019-08-20T00:00:00.000+02:00,38001.71,0.05125139333118447,Hidráulica,canarias,Renovable
2019-08-21T00:00:00.000+02:00,38493.81,0.05136125331982312,Hidráulica,canarias,Renovable
2019-08-22T00:00:00.000+02:00,41925.826,0.056233758957475705,Hidráulica,canarias,Renovable
2019-08-23T00:00:00.000+02:00,42800.86,0.058133538285252376,Hidráulica,canarias,Renovable
2019-08-24T00:00:00.000+02:00,34918.22,0.050313335061844926,Hidráulica,canarias,Renovable
2019-08-25T00:00:00.000+02:00,31347.359,0.04670223199473813,Hidráulica,canarias,Renovable
2019-08-26T00:00:00.000+02:00,46542.973,0.062003369117667226,Hidráulica,canarias,Renovable
2019-08-27T00:00:00.000+02:00,51678.255,0.06898792144237649,Hidráulica,canarias,Renovable
2019-08-28T00:00:00.000+02:00,53389.344,0.07251137643659258,Hidráulica,canarias,Renovable
2019-08-29T00:00:00.000+02:00,59749.296,0.07900396216083722,Hidráulica,canarias,Renovable
2019-08-30T00:00:00.000+02:00,56899.157,0.07429683706940926,Hidráulica,canarias,Renovable
2019-08-31T00:00:00.000+02:00,48266.71,0.07159179697694475,Hidráulica,canarias,Renovable
2019-09-01T00:00:00.000+02:00,31404.39,0.047571204702727514,Hidráulica,canarias,Renovable
2019-09-02T00:00:00.000+02:00,38148.517,0.048032710562870645,Hidráulica,canarias,Renovable
2019-09-03T00:00:00.000+02:00,53801.261,0.07027917729230591,Hidráulica,canarias,Renovable
2019-09-04T00:00:00.000+02:00,54724.959,0.07135525869998488,Hidráulica,canarias,Renovable
2019-09-05T00:00:00.000+02:00,32818.258,0.043489689805712814,Hidráulica,canarias,Renovable
2019-09-06T00:00:00.000+02:00,30146.204,0.03910879406371703,Hidráulica,canarias,Renovable
2019-09-07T00:00:00.000+02:00,28855.014,0.04118296714809258,Hidráulica,canarias,Renovable
2019-09-08T00:00:00.000+02:00,29420.553,0.046932443630038116,Hidráulica,canarias,Renovable
2019-09-09T00:00:00.000+02:00,49353.216,0.06789883151675599,Hidráulica,canarias,Renovable
2019-09-10T00:00:00.000+02:00,39504.993,0.0507322355459498,Hidráulica,canarias,Renovable
2019-09-11T00:00:00.000+02:00,42512.883,0.0573711628465783,Hidráulica,canarias,Renovable
2019-09-12T00:00:00.000+02:00,50919.321,0.07129499883514713,Hidráulica,canarias,Renovable
2019-09-13T00:00:00.000+02:00,45445.314,0.06370174466385967,Hidráulica,canarias,Renovable
2019-09-14T00:00:00.000+02:00,29031.508,0.04551634308440985,Hidráulica,canarias,Renovable
2019-09-15T00:00:00.000+02:00,28068.621,0.04652313153907943,Hidráulica,canarias,Renovable
2019-09-16T00:00:00.000+02:00,66133.503,0.09192349571421514,Hidráulica,canarias,Renovable
2019-09-17T00:00:00.000+02:00,64636.235,0.08981056791924932,Hidráulica,canarias,Renovable
2019-09-18T00:00:00.000+02:00,52209.253,0.07267497188993205,Hidráulica,canarias,Renovable
2019-09-19T00:00:00.000+02:00,56709.152,0.07793268043890977,Hidráulica,canarias,Renovable
2019-09-20T00:00:00.000+02:00,40615.436,0.05409343611347894,Hidráulica,canarias,Renovable
2019-09-21T00:00:00.000+02:00,30025.783,0.04608571066942609,Hidráulica,canarias,Renovable
2019-09-22T00:00:00.000+02:00,31095.205,0.048506677908307,Hidráulica,canarias,Renovable
2019-09-23T00:00:00.000+02:00,39902.986,0.05524177078302489,Hidráulica,canarias,Renovable
