value,percentage,datetime,pais,año
-137254.998,0.5,2019-01-01T00:00:00.000+01:00,andorra-frontera,2019
-119223.619,0.5,2019-02-01T00:00:00.000+01:00,andorra-frontera,2019
-122325.336,0.5,2019-03-01T00:00:00.000+01:00,andorra-frontera,2019
-124430.774,0.5,2019-04-01T00:00:00.000+02:00,andorra-frontera,2019
-143161.3,0.5,2019-05-01T00:00:00.000+02:00,andorra-frontera,2019
-159634.671,0.5,2019-06-01T00:00:00.000+02:00,andorra-frontera,2019
-201166.114,0.5,2019-07-01T00:00:00.000+02:00,andorra-frontera,2019
-185769.762,0.5,2019-08-01T00:00:00.000+02:00,andorra-frontera,2019
-153197.266,0.5,2019-09-01T00:00:00.000+02:00,andorra-frontera,2019
-137665.57,0.5,2019-10-01T00:00:00.000+02:00,andorra-frontera,2019
-91396.834,0.5,2019-11-01T00:00:00.000+01:00,andorra-frontera,2019
-119614.278,0.5,2019-12-01T00:00:00.000+01:00,andorra-frontera,2019
-136155.901,0.5,2020-01-01T00:00:00.000+01:00,andorra-frontera,2020
-115928.497,0.5,2020-02-01T00:00:00.000+01:00,andorra-frontera,2020
-112780.382,0.5,2020-03-01T00:00:00.000+01:00,andorra-frontera,2020
-80581.306,0.5,2020-04-01T00:00:00.000+02:00,andorra-frontera,2020
-79946.524,0.5,2020-05-01T00:00:00.000+02:00,andorra-frontera,2020
-93289.579,0.5,2020-06-01T00:00:00.000+02:00,andorra-frontera,2020
-168331.695,0.5,2020-07-01T00:00:00.000+02:00,andorra-frontera,2020
-182715.955,0.5,2020-08-01T00:00:00.000+02:00,andorra-frontera,2020
-116274.961,0.5,2020-09-01T00:00:00.000+02:00,andorra-frontera,2020
-105943.506,0.5,2020-10-01T00:00:00.000+02:00,andorra-frontera,2020
-96327.619,0.5,2020-11-01T00:00:00.000+01:00,andorra-frontera,2020
-138261.6,0.5,2020-12-01T00:00:00.000+01:00,andorra-frontera,2020
-138250.412,0.5,2021-01-01T00:00:00.000+01:00,andorra-frontera,2021
-113412.009,0.5,2021-02-01T00:00:00.000+01:00,andorra-frontera,2021
-127985.573,0.5,2021-03-01T00:00:00.000+01:00,andorra-frontera,2021
-111021.797,0.5,2021-04-01T00:00:00.000+02:00,andorra-frontera,2021
-111601.713,0.5,2021-05-01T00:00:00.000+02:00,andorra-frontera,2021
-65429.468,0.5,2021-06-01T00:00:00.000+02:00,andorra-frontera,2021
-45879.221,0.5,2021-07-01T00:00:00.000+02:00,andorra-frontera,2021
-40107.311,0.5,2021-08-01T00:00:00.000+02:00,andorra-frontera,2021
-37549.397,0.5,2021-09-01T00:00:00.000+02:00,andorra-frontera,2021
-38285.525,0.5,2021-10-01T00:00:00.000+02:00,andorra-frontera,2021
-28435.709,0.5,2021-11-01T00:00:00.000+01:00,andorra-frontera,2021
-32270.832,0.5,2021-12-01T00:00:00.000+01:00,andorra-frontera,2021
-31159.339,0.5,2022-01-01T00:00:00.000+01:00,andorra-frontera,2022
-27502.502,0.5,2022-02-01T00:00:00.000+01:00,andorra-frontera,2022
-30689.281,0.5,2022-03-01T00:00:00.000+01:00,andorra-frontera,2022
-33641.059,0.5,2022-04-01T00:00:00.000+02:00,andorra-frontera,2022
-32047.056,0.5,2022-05-01T00:00:00.000+02:00,andorra-frontera,2022
