value,percentage,datetime,pais,año
-610738.78,0.398657498706916,2019-01-01T00:00:00.000+01:00,francia-frontera,2019
-173941.302,0.09161530124406686,2019-02-01T00:00:00.000+01:00,francia-frontera,2019
-36646.734,0.017667260278289874,2019-03-01T00:00:00.000+01:00,francia-frontera,2019
-49019.135,0.0348565776769267,2019-04-01T00:00:00.000+02:00,francia-frontera,2019
-41445.523,0.03523991317107202,2019-05-01T00:00:00.000+02:00,francia-frontera,2019
-21852.652,0.025771745121785768,2019-06-01T00:00:00.000+02:00,francia-frontera,2019
-59447.944,0.0663448452800603,2019-07-01T00:00:00.000+02:00,francia-frontera,2019
-43584.251,0.04106938402550677,2019-08-01T00:00:00.000+02:00,francia-frontera,2019
-167797.595,0.14619082217208346,2019-09-01T00:00:00.000+02:00,francia-frontera,2019
-152997.485,0.11773408421036785,2019-10-01T00:00:00.000+02:00,francia-frontera,2019
-873551.033,0.7188802565169103,2019-11-01T00:00:00.000+01:00,francia-frontera,2019
-885267.603,0.6440703837906179,2019-12-01T00:00:00.000+01:00,francia-frontera,2019
-339952.804,0.20559453500837738,2020-01-01T00:00:00.000+01:00,francia-frontera,2020
-111729.4,0.07982444859837207,2020-02-01T00:00:00.000+01:00,francia-frontera,2020
-406782.959,0.25372370890148194,2020-03-01T00:00:00.000+01:00,francia-frontera,2020
-282670.888,0.2083123190058434,2020-04-01T00:00:00.000+02:00,francia-frontera,2020
-146635.025,0.09189880137930767,2020-05-01T00:00:00.000+02:00,francia-frontera,2020
-264848.312,0.20025932981026748,2020-06-01T00:00:00.000+02:00,francia-frontera,2020
-467885.711,0.3682687402047824,2020-07-01T00:00:00.000+02:00,francia-frontera,2020
-644797.72,0.4775718207454495,2020-08-01T00:00:00.000+02:00,francia-frontera,2020
-1055452.43,0.7782855167067902,2020-09-01T00:00:00.000+02:00,francia-frontera,2020
-770644.962,0.5251327853417931,2020-10-01T00:00:00.000+02:00,francia-frontera,2020
-552405.04,0.3615576346976324,2020-11-01T00:00:00.000+01:00,francia-frontera,2020
-1148653.155,0.6715449514930906,2020-12-01T00:00:00.000+01:00,francia-frontera,2020
-674974.59,0.36847264821462683,2021-01-01T00:00:00.000+01:00,francia-frontera,2021
-1192247.836,0.8516869715745562,2021-02-01T00:00:00.000+01:00,francia-frontera,2021
-721057.65,0.44795203821919916,2021-03-01T00:00:00.000+01:00,francia-frontera,2021
-530479.416,0.35965564344431933,2021-04-01T00:00:00.000+02:00,francia-frontera,2021
-316197.735,0.18889210547407131,2021-05-01T00:00:00.000+02:00,francia-frontera,2021
-111017.136,0.07198292828491451,2021-06-01T00:00:00.000+02:00,francia-frontera,2021
-147435.842,0.09442868919784814,2021-07-01T00:00:00.000+02:00,francia-frontera,2021
-14672.153,0.008243004821236726,2021-08-01T00:00:00.000+02:00,francia-frontera,2021
-78395.839,0.05802943959223084,2021-09-01T00:00:00.000+02:00,francia-frontera,2021
-139738.291,0.1332102616503651,2021-10-01T00:00:00.000+02:00,francia-frontera,2021
-1093752.019,0.7950466746417364,2021-11-01T00:00:00.000+01:00,francia-frontera,2021
-1260796.706,0.8069180772169754,2021-12-01T00:00:00.000+01:00,francia-frontera,2021
-946987.765,0.6455984392568572,2022-01-01T00:00:00.000+01:00,francia-frontera,2022
-228847.143,0.158728325854232,2022-02-01T00:00:00.000+01:00,francia-frontera,2022
-867799.589,0.5920454528204789,2022-03-01T00:00:00.000+01:00,francia-frontera,2022
-1057781.223,0.7937436717084653,2022-04-01T00:00:00.000+02:00,francia-frontera,2022
-843675.122,0.6448192211522423,2022-05-01T00:00:00.000+02:00,francia-frontera,2022
-619059.595,0.6348141471516974,2022-06-01T00:00:00.000+02:00,francia-frontera,2022
-1106956.595,0.8854774345133504,2022-07-01T00:00:00.000+02:00,francia-frontera,2022
-1484153.892,0.9787534500548227,2022-08-01T00:00:00.000+02:00,francia-frontera,2022
-1763229.343,0.9938399446819135,2022-09-01T00:00:00.000+02:00,francia-frontera,2022
-1236969.701,0.774804962470109,2022-10-01T00:00:00.000+02:00,francia-frontera,2022
-1442401.586,0.8485662506202802,2022-11-01T00:00:00.000+01:00,francia-frontera,2022
-1781757.198,0.8480166663712879,2022-12-01T00:00:00.000+01:00,francia-frontera,2022
-1252101.073,0.7988901270984038,2023-01-01T00:00:00.000+01:00,francia-frontera,2023
-937173.16,0.7311115869228111,2023-02-01T00:00:00.000+01:00,francia-frontera,2023
-1369903.338,0.8689667351755521,2023-03-01T00:00:00.000+01:00,francia-frontera,2023
-1077189.301,0.8173689843470547,2023-04-01T00:00:00.000+02:00,francia-frontera,2023
-730864.513,0.556931624045451,2023-05-01T00:00:00.000+02:00,francia-frontera,2023
-541183.965,0.46946461001821616,2023-06-01T00:00:00.000+02:00,francia-frontera,2023
-214304.696,0.16413470799564944,2023-07-01T00:00:00.000+02:00,francia-frontera,2023
-417750.055,0.3418026364466495,2023-08-01T00:00:00.000+02:00,francia-frontera,2023
-233262.398,0.17861943964141516,2023-09-01T00:00:00.000+02:00,francia-frontera,2023
-434909.499,0.3222276374480682,2023-10-01T00:00:00.000+02:00,francia-frontera,2023
-1008916.721,0.7961059251492577,2023-11-01T00:00:00.000+01:00,francia-frontera,2023
-845344.261,0.46042072831905667,2023-12-01T00:00:00.000+01:00,francia-frontera,2023
-852580.96,0.5523529716102585,2024-01-01T00:00:00.000+01:00,francia-frontera,2024
-1307657.264,0.7644601019574531,2024-02-01T00:00:00.000+01:00,francia-frontera,2024
-1343510.894,0.8253299845705089,2024-03-01T00:00:00.000+01:00,francia-frontera,2024
-1201517.015,0.7915482343255061,2024-04-01T00:00:00.000+02:00,francia-frontera,2024
-504469.488,0.3447905223011289,2024-05-01T00:00:00.000+02:00,francia-frontera,2024
-279863.477,0.2522042554701158,2024-06-01T00:00:00.000+02:00,francia-frontera,2024
-177006.837,0.12710173604578573,2024-07-01T00:00:00.000+02:00,francia-frontera,2024
-101887.649,0.06403690495848693,2024-08-01T00:00:00.000+02:00,francia-frontera,2024
-201260.597,0.19241711486706287,2024-09-01T00:00:00.000+02:00,francia-frontera,2024
-366664.641,0.3303871699633008,2024-10-01T00:00:00.000+02:00,francia-frontera,2024
-340412.144,0.2530344819158006,2024-11-01T00:00:00.000+01:00,francia-frontera,2024
-416175.021,0.2389212832312413,2024-12-01T00:00:00.000+01:00,francia-frontera,2024
-673272.146,0.5670958857461502,2019-01-01T00:00:00.000+01:00,portugal-frontera,2019
-846212.241,0.8546334192561116,2019-02-01T00:00:00.000+01:00,portugal-frontera,2019
