value,percentage,datetime,pais
-208.239,0.0034653891349976746,2019-01-01T00:00:00.000+01:00,francia-frontera
-2325.553,0.03685693620399135,2019-01-02T00:00:00.000+01:00,francia-frontera
-11123.719,0.2437667365136054,2019-01-03T00:00:00.000+01:00,francia-frontera
-17758.093,0.39797848695279253,2019-01-04T00:00:00.000+01:00,francia-frontera
-4267.317,0.10238560410348868,2019-01-05T00:00:00.000+01:00,francia-frontera
-4074.433,0.07346517024726534,2019-01-06T00:00:00.000+01:00,francia-frontera
-24461.368,0.504171757053259,2019-01-07T00:00:00.000+01:00,francia-frontera
-2103.311,0.04646064326084196,2019-01-08T00:00:00.000+01:00,francia-frontera
-4806.703,0.11408215884977192,2019-01-09T00:00:00.000+01:00,francia-frontera
-54209.031,0.7864641115183972,2019-01-10T00:00:00.000+01:00,francia-frontera
-36573.953,0.7306291921237217,2019-01-11T00:00:00.000+01:00,francia-frontera
-3873.772,0.060051588187482914,2019-01-12T00:00:00.000+01:00,francia-frontera
-4316.689,0.07477289323540988,2019-01-13T00:00:00.000+01:00,francia-frontera
-4997.194,0.10427468939211593,2019-01-14T00:00:00.000+01:00,francia-frontera
-1579.573,0.02943816261575331,2019-01-15T00:00:00.000+01:00,francia-frontera
-582.492,0.010840227223215981,2019-01-16T00:00:00.000+01:00,francia-frontera
-2544.738,0.044918132907817446,2019-01-17T00:00:00.000+01:00,francia-frontera
-14531.699,0.3189101482989241,2019-01-18T00:00:00.000+01:00,francia-frontera
-10882.802,0.36479535724349005,2019-01-19T00:00:00.000+01:00,francia-frontera
-32357.255,0.7978295370997798,2019-01-20T00:00:00.000+01:00,francia-frontera
-34334.159,0.8796573180045374,2019-01-21T00:00:00.000+01:00,francia-frontera
-41787.12,0.9214091232625644,2019-01-22T00:00:00.000+01:00,francia-frontera
-58089.824,0.9802482335566194,2019-01-23T00:00:00.000+01:00,francia-frontera
-57539.844,0.9759582200549882,2019-01-24T00:00:00.000+01:00,francia-frontera
