fecha,valor,tipo,energia,region
2019-01-01,53.72212,Hidráulica,Renovable,peninsular
2019-01-01,0.825588,Turbinación bombeo,Almacenamiento,peninsular
2019-01-01,380.3198374999999,Generación no renovable,No-Renovable,peninsular
2019-01-01,5.8818945000000005,Residuos no renovables,No-Renovable,peninsular
2019-01-01,-8.556567999999999,Consumo bombeo,Almacenamiento,peninsular
2019-01-01,65.180123,Cogeneración,No-Renovable,peninsular
2019-01-01,7.221274,Turbina de vapor,No-Renovable,peninsular
2019-01-01,78.024599,Eólica,Renovable,peninsular
2019-01-01,0.56041,Turbina de gas,No-Renovable,peninsular
2019-01-01,7.514894,Motores diésel,No-Renovable,peninsular
2019-01-01,-7.73098,Saldo almacenamiento,Almacenamiento,peninsular
2019-01-01,46.490345,Carbón,No-Renovable,peninsular
2019-01-01,102.405013,Ciclo combinado,No-Renovable,peninsular
2019-01-01,145.06588399999998,Nuclear,No-Renovable,peninsular
2019-01-01,7.457265,Solar térmica,Renovable,peninsular
2019-01-01,19.037740000000003,Solar fotovoltaica,Renovable,peninsular
2019-01-01,8.43249,Otras renovables,Renovable,peninsular
2019-01-01,169.35176950000002,Generación renovable,Renovable,peninsular
2019-01-01,0.01641,Hidroeólica,Renovable,peninsular
2019-01-01,2.6611455,Residuos renovables,Renovable,peninsular
2019-01-01,41.009179,Saldo I. internacionales,Demanda,peninsular
2019-01-01,582.949806,Demanda en b.c.,Demanda,peninsular
2019-01-02,40.610363,Saldo I. internacionales,Demanda,peninsular
2019-01-02,5.146511,Turbinación bombeo,Almacenamiento,peninsular
2019-01-02,0.013481,Hidroeólica,Renovable,peninsular
2019-01-02,415.7018865,Generación no renovable,No-Renovable,peninsular
2019-01-02,6.1934215,Residuos no renovables,No-Renovable,peninsular
2019-01-02,8.440714,Otras renovables,Renovable,peninsular
2019-01-02,-13.556968,Consumo bombeo,Almacenamiento,peninsular
2019-01-02,81.637709,Cogeneración,No-Renovable,peninsular
2019-01-02,742.199407,Demanda en b.c.,Demanda,peninsular
2019-01-02,195.509161,Eólica,Renovable,peninsular
2019-01-02,0.9886,Turbina de gas,No-Renovable,peninsular
