fecha,valor,indicador,region
2014-12-31,603.9614740000001,Demanda,peninsular
2015-01-01,715.038679,Demanda,canarias
2015-01-02,698.648512,Demanda,pais vasco
2015-01-03,663.5332539999999,Demanda,la rioja
2015-01-04,714.784323,Demanda,cantabria
2015-01-05,640.5025899999999,Demanda,aragon
2015-01-06,797.756388,Demanda,galicia
2015-01-07,825.1712739999999,Demanda,baleares
2015-01-08,814.9743249999999,Demanda,canarias
2015-01-09,730.111554,Demanda,galicia
2015-01-10,677.864576,Demanda,region de murcia
2015-01-11,798.385956,Demanda,canarias
2015-01-12,808.843601,Demanda,pais vasco
2015-01-13,808.917954,Demanda,comunidad de navarra
2015-01-14,805.49397,Demanda,la rioja
2015-01-15,806.81956,Demanda,comunidad de valenciana
2015-01-16,737.3708349999999,Demanda,peninsular
2015-01-17,705.750634,Demanda,canarias
2015-01-18,832.362441,Demanda,la rioja
2015-01-19,854.993657,Demanda,ceuta
2015-01-20,858.827193,Demanda,cataluña
2015-01-21,852.352418,Demanda,pais vasco
2015-01-22,840.300824,Demanda,ceuta
2015-01-23,755.029505,Demanda,castilla la mancha
2015-01-24,691.396043,Demanda,galicia
2015-01-25,820.2015250000001,Demanda,comunidad de madrid
2015-01-26,828.540004,Demanda,la rioja
2015-01-27,822.819394,Demanda,ceuta
2015-01-28,817.2683000000001,Demanda,galicia
2015-01-29,800.560346,Demanda,andalucia
2015-01-30,722.1973519999999,Demanda,la rioja
2015-01-31,683.673435,Demanda,principado de asturias
2015-02-01,828.262167,Demanda,cataluña
2015-02-02,846.036506,Demanda,pais vasco
2015-02-03,864.0741509999999,Demanda,comunidad de navarra
2015-02-04,861.3026990000001,Demanda,cantabria
2015-02-05,865.557073,Demanda,andalucia
2015-02-06,788.806462,Demanda,extremadura
2015-02-07,722.720341,Demanda,castilla y leon
2015-02-08,848.776346,Demanda,comunidad de valenciana
2015-02-09,855.151057,Demanda,galicia
2015-02-10,844.145344,Demanda,castilla la mancha
2015-02-11,837.363267,Demanda,castilla la mancha
2015-02-12,815.588837,Demanda,comunidad de madrid
2015-02-13,731.921206,Demanda,comunidad de valenciana
2015-02-14,666.364522,Demanda,melilla
2015-02-15,781.256148,Demanda,region de murcia
2015-02-16,808.815061,Demanda,comunidad de navarra
2015-02-17,805.298458,Demanda,ceuta
2015-02-18,800.595235,Demanda,la rioja
2015-02-19,800.551083,Demanda,principado de asturias
2015-02-20,723.076713,Demanda,la rioja
2015-02-21,667.165755,Demanda,baleares
2015-02-22,785.9999,Demanda,ceuta
2015-02-23,804.965856,Demanda,la rioja
2015-02-24,799.9069599999999,Demanda,comunidad de navarra
2015-02-25,785.077042,Demanda,comunidad de valenciana
2015-02-26,767.747309,Demanda,ceuta
2015-02-27,688.9253689999999,Demanda,principado de asturias
2015-02-28,632.3986600000001,Demanda,galicia
2015-03-01,740.93184,Demanda,ceuta
2015-03-02,748.029863,Demanda,comunidad de madrid
2015-03-03,759.198992,Demanda,ceuta
2015-03-04,766.393373,Demanda,pais vasco
2015-03-05,759.165523,Demanda,extremadura
2015-03-06,672.167186,Demanda,canarias
2015-03-07,620.213043,Demanda,galicia
2015-03-08,735.652229,Demanda,canarias
2015-03-09,746.131443,Demanda,extremadura
2015-03-10,741.7470559999999,Demanda,comunidad de madrid
2015-03-11,737.807726,Demanda,castilla y leon
